conflict_phase,total_fare_usd
COVID-19 Collapse,98.83
COVID-19 Collapse,192.26
COVID-19 Collapse,110.93
COVID-19 Collapse,217.13
COVID-19 Collapse,210.91
COVID-19 Collapse,176.48
COVID-19 Collapse,166.6
COVID-19 Collapse,229.39
Recovery & Surge,464.1
Recovery & Surge,434.91
Recovery & Surge,481.11
Recovery & Surge,449.72
Recovery & Surge,485.18
Recovery & Surge,579.09
Recovery & Surge,475.67
Recovery & Surge,466.3
Recovery & Surge,418.13
Ukraine War Shock,601.38
Ukraine War Shock,622.45
Ukraine War Shock,627.54
Ukraine War Shock,606.81
Ukraine War Shock,532.9
Ukraine War Shock,546.35
Ukraine War Shock,588.67
Ukraine War Shock,516.01
Ukraine War Shock,605.05
Ukraine War Shock,630.44
Stabilisation,412.68
Stabilisation,458.95
Stabilisation,434.19
Stabilisation,417.76
Stabilisation,516.13
Stabilisation,414.6
Stabilisation,399.09
Stabilisation,478.79
Stabilisation,427.83
Gaza-Israel Conflict,391.63
Gaza-Israel Conflict,423.28
Gaza-Israel Conflict,409.08
Gaza-Israel Conflict,473.73
Gaza-Israel Conflict,397.89
Gaza-Israel Conflict,467.13
Gaza-Israel Conflict,478.67
Gaza-Israel Conflict,374.58
Gaza-Israel Conflict,432.62
Gaza-Israel Conflict,413.1
Gaza-Israel Conflict,440.08
Gaza-Israel Conflict,413.14
Gaza-Israel Conflict,399.17
Gaza-Israel Conflict,473.16
Pre-Iran Escalation,471.03
Pre-Iran Escalation,406.7
Pre-Iran Escalation,515.04
Pre-Iran Escalation,517.76
Pre-Iran Escalation,488.81
Pre-Iran Escalation,441.96
Pre-Iran Escalation,463.8
Pre-Iran Escalation,437.57
Pre-Iran Escalation,433.79
Pre-Iran Escalation,488.02
Pre-Iran Escalation,495.59
Pre-Iran Escalation,455.23
US-Iran War Conflict,1015.52
US-Iran War Conflict,1013.49
US-Iran War Conflict,944.09
US-Iran War Conflict,1038.43
Pre-Pandemic Baseline,58.57
Pre-Pandemic Baseline,55.31
Pre-Pandemic Baseline,56.25
Pre-Pandemic Baseline,57.75
Pre-Pandemic Baseline,55.14
Pre-Pandemic Baseline,54.02
Pre-Pandemic Baseline,52.58
Pre-Pandemic Baseline,65.33
Pre-Pandemic Baseline,53.56
Pre-Pandemic Baseline,57.91
Pre-Pandemic Baseline,58.49
Pre-Pandemic Baseline,55.11
Pre-Pandemic Baseline,57.78
Pre-Pandemic Baseline,62.8
COVID-19 Collapse,15.6
COVID-19 Collapse,16.35
COVID-19 Collapse,14.06
COVID-19 Collapse,25.4
COVID-19 Collapse,18.98
COVID-19 Collapse,26.3
COVID-19 Collapse,17.88
COVID-19 Collapse,16.66
COVID-19 Collapse,27.45
COVID-19 Collapse,27.18
COVID-19 Collapse,23.94
COVID-19 Collapse,19.75
COVID-19 Collapse,31.32
COVID-19 Collapse,26.54
COVID-19 Collapse,26.9
Recovery & Surge,72.57
Recovery & Surge,63.31
Recovery & Surge,72.03
Recovery & Surge,59.43
Recovery & Surge,75.55
Recovery & Surge,74.18
Recovery & Surge,74.16
Recovery & Surge,71.8
Recovery & Surge,79.29
Ukraine War Shock,95.37
Ukraine War Shock,96.35
Ukraine War Shock,93.31
Ukraine War Shock,91.04
Ukraine War Shock,80.6
Ukraine War Shock,91.39
Ukraine War Shock,74.98
Ukraine War Shock,94.61
Ukraine War Shock,88.08
Ukraine War Shock,85.78
Stabilisation,58.04
Stabilisation,63.73
Stabilisation,70.68
Stabilisation,60.23
Stabilisation,67.21
Stabilisation,71.48
Stabilisation,66.08
Stabilisation,66.5
Stabilisation,58.26
Gaza-Israel Conflict,65.9
Gaza-Israel Conflict,55.89
Gaza-Israel Conflict,61.41
Gaza-Israel Conflict,72.0
Gaza-Israel Conflict,66.68
Gaza-Israel Conflict,74.95
Gaza-Israel Conflict,62.95
Gaza-Israel Conflict,67.88
Gaza-Israel Conflict,65.25
Gaza-Israel Conflict,65.26
Gaza-Israel Conflict,73.89
Gaza-Israel Conflict,67.41
Gaza-Israel Conflict,77.49
Gaza-Israel Conflict,69.19
Pre-Iran Escalation,60.77
Pre-Iran Escalation,69.97
Pre-Iran Escalation,80.53
Pre-Iran Escalation,80.26
Pre-Iran Escalation,68.1
Pre-Iran Escalation,62.85
Pre-Iran Escalation,70.27
Pre-Iran Escalation,73.77
Pre-Iran Escalation,63.17
Pre-Iran Escalation,72.9
Pre-Iran Escalation,60.68
Pre-Iran Escalation,70.83
US-Iran War Conflict,120.57
US-Iran War Conflict,133.49
US-Iran War Conflict,148.07
US-Iran War Conflict,201.23
Pre-Pandemic Baseline,148.96
Pre-Pandemic Baseline,153.68
Pre-Pandemic Baseline,160.86
Pre-Pandemic Baseline,156.59
Pre-Pandemic Baseline,157.04
Pre-Pandemic Baseline,148.4
Pre-Pandemic Baseline,135.82
Pre-Pandemic Baseline,173.98
Pre-Pandemic Baseline,164.25
Pre-Pandemic Baseline,167.21
Pre-Pandemic Baseline,158.54
Pre-Pandemic Baseline,158.87
Pre-Pandemic Baseline,163.49
Pre-Pandemic Baseline,153.54
COVID-19 Collapse,39.71
COVID-19 Collapse,59.17
COVID-19 Collapse,35.44
COVID-19 Collapse,64.65
COVID-19 Collapse,77.95
COVID-19 Collapse,45.7
COVID-19 Collapse,45.96
COVID-19 Collapse,51.95
COVID-19 Collapse,80.26
COVID-19 Collapse,52.49
COVID-19 Collapse,63.99
COVID-19 Collapse,85.85
COVID-19 Collapse,72.51
COVID-19 Collapse,70.01
COVID-19 Collapse,53.94
Recovery & Surge,183.23
Recovery & Surge,180.54
Recovery & Surge,208.43
Recovery & Surge,168.48
Recovery & Surge,244.07
Recovery & Surge,190.63
Recovery & Surge,193.06
Recovery & Surge,190.64
Recovery & Surge,187.68
Ukraine War Shock,238.37
Ukraine War Shock,280.4
Ukraine War Shock,254.7
Ukraine War Shock,272.08
Ukraine War Shock,216.29
Ukraine War Shock,257.02
Ukraine War Shock,227.28
Ukraine War Shock,205.06
Ukraine War Shock,225.38
Ukraine War Shock,232.31
Stabilisation,182.72
Stabilisation,165.41
Stabilisation,183.22
Stabilisation,185.17
Stabilisation,176.85
Stabilisation,202.23
Stabilisation,198.71
Stabilisation,200.13
Stabilisation,165.59
Gaza-Israel Conflict,180.93
Gaza-Israel Conflict,150.53
Gaza-Israel Conflict,185.99
Gaza-Israel Conflict,179.96
Gaza-Israel Conflict,186.15
Gaza-Israel Conflict,169.43
Gaza-Israel Conflict,184.05
Gaza-Israel Conflict,178.03
Gaza-Israel Conflict,181.51
Gaza-Israel Conflict,157.51
Gaza-Israel Conflict,176.86
Gaza-Israel Conflict,159.19
Gaza-Israel Conflict,175.94
Gaza-Israel Conflict,168.82
Pre-Iran Escalation,163.54
Pre-Iran Escalation,167.9
Pre-Iran Escalation,191.75
Pre-Iran Escalation,181.47
Pre-Iran Escalation,194.17
Pre-Iran Escalation,190.66
Pre-Iran Escalation,159.25
Pre-Iran Escalation,181.66
Pre-Iran Escalation,176.64
Pre-Iran Escalation,190.68
Pre-Iran Escalation,176.01
Pre-Iran Escalation,155.76
US-Iran War Conflict,356.41
US-Iran War Conflict,289.09
US-Iran War Conflict,418.61
US-Iran War Conflict,523.1
Pre-Pandemic Baseline,3118.51
Pre-Pandemic Baseline,3459.61
Pre-Pandemic Baseline,3179.93
Pre-Pandemic Baseline,3140.55
Pre-Pandemic Baseline,3088.06
Pre-Pandemic Baseline,3049.05
Pre-Pandemic Baseline,3277.62
Pre-Pandemic Baseline,3431.02
Pre-Pandemic Baseline,3087.72
Pre-Pandemic Baseline,3320.6
Pre-Pandemic Baseline,3474.91
Pre-Pandemic Baseline,3330.07
Pre-Pandemic Baseline,3614.83
Pre-Pandemic Baseline,2953.24
COVID-19 Collapse,815.63
COVID-19 Collapse,1382.9
COVID-19 Collapse,1187.14
COVID-19 Collapse,1293.97
COVID-19 Collapse,1707.82
COVID-19 Collapse,856.78
COVID-19 Collapse,1204.83
COVID-19 Collapse,1221.97
COVID-19 Collapse,1535.28
COVID-19 Collapse,1061.78
COVID-19 Collapse,1241.04
COVID-19 Collapse,1293.19
COVID-19 Collapse,1796.33
COVID-19 Collapse,1725.5
COVID-19 Collapse,1207.64
Recovery & Surge,3900.46
Recovery & Surge,4445.78
Recovery & Surge,4147.98
Recovery & Surge,4292.21
Recovery & Surge,4739.57
Recovery & Surge,4715.31
Recovery & Surge,3828.64
Recovery & Surge,3860.32
Recovery & Surge,4590.81
Ukraine War Shock,5464.95
Ukraine War Shock,5246.05
Ukraine War Shock,5129.69
Ukraine War Shock,4944.44
Ukraine War Shock,4749.04
Ukraine War Shock,4870.04
Ukraine War Shock,4570.0
Ukraine War Shock,4525.29
Ukraine War Shock,4564.58
Ukraine War Shock,4922.27
Stabilisation,3473.95
Stabilisation,3378.67
Stabilisation,4018.3
Stabilisation,3903.42
Stabilisation,3572.23
Stabilisation,3844.33
Stabilisation,3393.15
Stabilisation,3684.9
Stabilisation,3593.26
Gaza-Israel Conflict,3489.81
Gaza-Israel Conflict,3471.18
Gaza-Israel Conflict,3547.51
Gaza-Israel Conflict,3574.25
Gaza-Israel Conflict,3367.08
Gaza-Israel Conflict,3720.04
Gaza-Israel Conflict,3601.66
Gaza-Israel Conflict,3793.61
Gaza-Israel Conflict,4137.82
Gaza-Israel Conflict,3563.23
Gaza-Israel Conflict,4128.84
Gaza-Israel Conflict,3942.14
Gaza-Israel Conflict,3862.29
Gaza-Israel Conflict,3743.65
Pre-Iran Escalation,3809.63
Pre-Iran Escalation,3343.5
Pre-Iran Escalation,3715.35
Pre-Iran Escalation,3852.46
Pre-Iran Escalation,3918.51
Pre-Iran Escalation,4147.38
Pre-Iran Escalation,3886.45
Pre-Iran Escalation,3784.68
Pre-Iran Escalation,3735.7
Pre-Iran Escalation,3950.26
Pre-Iran Escalation,3656.3
Pre-Iran Escalation,3481.28
US-Iran War Conflict,9038.2
US-Iran War Conflict,7789.63
US-Iran War Conflict,9058.43
US-Iran War Conflict,7653.02
Pre-Pandemic Baseline,1282.31
Pre-Pandemic Baseline,1256.41
Pre-Pandemic Baseline,1352.58
Pre-Pandemic Baseline,1402.41
Pre-Pandemic Baseline,1334.2
Pre-Pandemic Baseline,1407.27
Pre-Pandemic Baseline,1392.13
Pre-Pandemic Baseline,1281.14
Pre-Pandemic Baseline,1301.06
Pre-Pandemic Baseline,1295.16
Pre-Pandemic Baseline,1239.02
Pre-Pandemic Baseline,1397.11
Pre-Pandemic Baseline,1310.41
Pre-Pandemic Baseline,1365.02
COVID-19 Collapse,377.24
COVID-19 Collapse,509.42
COVID-19 Collapse,490.96
COVID-19 Collapse,498.44
COVID-19 Collapse,637.56
COVID-19 Collapse,644.57
COVID-19 Collapse,628.89
COVID-19 Collapse,456.23
COVID-19 Collapse,342.55
COVID-19 Collapse,327.22
COVID-19 Collapse,451.79
COVID-19 Collapse,774.4
COVID-19 Collapse,748.98
COVID-19 Collapse,569.8
COVID-19 Collapse,443.15
Recovery & Surge,1773.43
Recovery & Surge,1634.23
Recovery & Surge,1675.05
Recovery & Surge,1559.63
Recovery & Surge,1570.2
Recovery & Surge,1700.49
Recovery & Surge,1609.16
Recovery & Surge,1771.47
Recovery & Surge,1627.37
Ukraine War Shock,2197.74
Ukraine War Shock,2351.21
Ukraine War Shock,2097.31
Ukraine War Shock,2018.45
Ukraine War Shock,1800.43
Ukraine War Shock,1978.82
Ukraine War Shock,1852.93
Ukraine War Shock,1939.52
Ukraine War Shock,1963.52
Ukraine War Shock,1799.91
Stabilisation,1399.54
Stabilisation,1380.0
Stabilisation,1581.54
Stabilisation,1415.24
Stabilisation,1567.83
Stabilisation,1632.56
Stabilisation,1340.38
Stabilisation,1446.05
Stabilisation,1242.6
Gaza-Israel Conflict,1470.22
Gaza-Israel Conflict,1374.12
Gaza-Israel Conflict,1537.29
Gaza-Israel Conflict,1455.91
Gaza-Israel Conflict,1445.96
Gaza-Israel Conflict,1388.9
Gaza-Israel Conflict,1371.24
Gaza-Israel Conflict,1443.42
Gaza-Israel Conflict,1402.5
Gaza-Israel Conflict,1297.02
Gaza-Israel Conflict,1396.36
Gaza-Israel Conflict,1311.59
Gaza-Israel Conflict,1333.03
Gaza-Israel Conflict,1598.67
Pre-Iran Escalation,1422.05
Pre-Iran Escalation,1499.66
Pre-Iran Escalation,1475.15
Pre-Iran Escalation,1532.64
Pre-Iran Escalation,1681.53
Pre-Iran Escalation,1525.26
Pre-Iran Escalation,1460.36
Pre-Iran Escalation,1530.96
Pre-Iran Escalation,1368.67
Pre-Iran Escalation,1567.51
Pre-Iran Escalation,1538.79
Pre-Iran Escalation,1503.9
US-Iran War Conflict,2735.09
US-Iran War Conflict,3551.59
US-Iran War Conflict,4292.16
US-Iran War Conflict,4036.57
Pre-Pandemic Baseline,351.76
Pre-Pandemic Baseline,362.45
Pre-Pandemic Baseline,420.51
Pre-Pandemic Baseline,412.44
Pre-Pandemic Baseline,339.32
Pre-Pandemic Baseline,355.95
Pre-Pandemic Baseline,405.6
Pre-Pandemic Baseline,408.35
Pre-Pandemic Baseline,365.43
Pre-Pandemic Baseline,394.64
Pre-Pandemic Baseline,342.79
Pre-Pandemic Baseline,377.62
Pre-Pandemic Baseline,358.23
Pre-Pandemic Baseline,382.98
COVID-19 Collapse,130.12
COVID-19 Collapse,131.53
COVID-19 Collapse,167.88
COVID-19 Collapse,146.52
COVID-19 Collapse,116.13
COVID-19 Collapse,183.89
COVID-19 Collapse,177.03
COVID-19 Collapse,165.58
COVID-19 Collapse,152.08
COVID-19 Collapse,148.49
COVID-19 Collapse,184.75
COVID-19 Collapse,185.61
COVID-19 Collapse,222.88
COVID-19 Collapse,190.72
COVID-19 Collapse,122.85
Recovery & Surge,499.41
Recovery & Surge,432.73
Recovery & Surge,474.46
Recovery & Surge,476.28
Recovery & Surge,519.21
Recovery & Surge,461.0
Recovery & Surge,478.73
Recovery & Surge,536.58
Recovery & Surge,507.03
Ukraine War Shock,692.35
Ukraine War Shock,679.87
Ukraine War Shock,593.99
Ukraine War Shock,621.22
Ukraine War Shock,507.41
Ukraine War Shock,597.57
Ukraine War Shock,554.79
Ukraine War Shock,528.2
Ukraine War Shock,562.13
Ukraine War Shock,582.43
Stabilisation,398.42
Stabilisation,473.52
Stabilisation,448.84
Stabilisation,440.56
Stabilisation,436.64
Stabilisation,477.65
Stabilisation,400.03
Stabilisation,481.92
Stabilisation,431.8
Gaza-Israel Conflict,370.57
Gaza-Israel Conflict,371.54
Gaza-Israel Conflict,449.62
Gaza-Israel Conflict,452.44
Gaza-Israel Conflict,393.68
Gaza-Israel Conflict,472.68
Gaza-Israel Conflict,393.19
Gaza-Israel Conflict,402.29
Gaza-Israel Conflict,466.0
Gaza-Israel Conflict,437.85
Gaza-Israel Conflict,506.11
Gaza-Israel Conflict,398.08
Gaza-Israel Conflict,470.69
Gaza-Israel Conflict,430.17
Pre-Iran Escalation,445.46
Pre-Iran Escalation,408.14
Pre-Iran Escalation,465.25
Pre-Iran Escalation,487.13
Pre-Iran Escalation,416.1
Pre-Iran Escalation,445.24
Pre-Iran Escalation,378.27
Pre-Iran Escalation,447.11
Pre-Iran Escalation,399.7
Pre-Iran Escalation,476.0
Pre-Iran Escalation,476.08
Pre-Iran Escalation,462.88
US-Iran War Conflict,1065.77
US-Iran War Conflict,855.38
US-Iran War Conflict,925.98
US-Iran War Conflict,1162.35
Pre-Pandemic Baseline,81.53
Pre-Pandemic Baseline,71.22
Pre-Pandemic Baseline,75.09
Pre-Pandemic Baseline,77.62
Pre-Pandemic Baseline,77.2
Pre-Pandemic Baseline,68.9
Pre-Pandemic Baseline,73.82
Pre-Pandemic Baseline,68.66
Pre-Pandemic Baseline,73.75
Pre-Pandemic Baseline,74.39
Pre-Pandemic Baseline,80.01
Pre-Pandemic Baseline,79.74
Pre-Pandemic Baseline,76.42
Pre-Pandemic Baseline,67.98
COVID-19 Collapse,22.35
COVID-19 Collapse,27.15
COVID-19 Collapse,24.74
COVID-19 Collapse,27.3
COVID-19 Collapse,32.4
COVID-19 Collapse,25.4
COVID-19 Collapse,35.34
COVID-19 Collapse,30.87
COVID-19 Collapse,22.88
COVID-19 Collapse,36.11
COVID-19 Collapse,27.02
COVID-19 Collapse,45.28
COVID-19 Collapse,40.54
COVID-19 Collapse,42.08
COVID-19 Collapse,33.94
Recovery & Surge,95.28
Recovery & Surge,98.79
Recovery & Surge,92.1
Recovery & Surge,85.36
Recovery & Surge,94.73
Recovery & Surge,92.16
Recovery & Surge,104.24
Recovery & Surge,96.72
Recovery & Surge,94.64
Ukraine War Shock,120.3
Ukraine War Shock,117.77
Ukraine War Shock,114.41
Ukraine War Shock,116.8
Ukraine War Shock,104.62
Ukraine War Shock,119.7
Ukraine War Shock,115.33
Ukraine War Shock,111.64
Ukraine War Shock,111.79
Ukraine War Shock,104.32
Stabilisation,93.82
Stabilisation,75.55
Stabilisation,85.01
Stabilisation,91.75
Stabilisation,96.0
Stabilisation,83.31
Stabilisation,87.51
Stabilisation,86.87
Stabilisation,80.85
Gaza-Israel Conflict,90.88
Gaza-Israel Conflict,84.74
Gaza-Israel Conflict,75.75
Gaza-Israel Conflict,81.64
Gaza-Israel Conflict,84.15
Gaza-Israel Conflict,93.64
Gaza-Israel Conflict,92.56
Gaza-Israel Conflict,82.7
Gaza-Israel Conflict,87.61
Gaza-Israel Conflict,74.91
Gaza-Israel Conflict,79.12
Gaza-Israel Conflict,81.16
Gaza-Israel Conflict,91.07
Gaza-Israel Conflict,84.85
Pre-Iran Escalation,76.09
Pre-Iran Escalation,81.59
Pre-Iran Escalation,91.93
Pre-Iran Escalation,93.22
Pre-Iran Escalation,94.1
Pre-Iran Escalation,95.97
Pre-Iran Escalation,75.3
Pre-Iran Escalation,89.64
Pre-Iran Escalation,81.32
Pre-Iran Escalation,86.67
Pre-Iran Escalation,87.89
Pre-Iran Escalation,85.32
US-Iran War Conflict,201.5
US-Iran War Conflict,150.28
US-Iran War Conflict,236.45
US-Iran War Conflict,188.02
Pre-Pandemic Baseline,149.85
Pre-Pandemic Baseline,163.99
Pre-Pandemic Baseline,177.16
Pre-Pandemic Baseline,154.43
Pre-Pandemic Baseline,168.08
Pre-Pandemic Baseline,145.47
Pre-Pandemic Baseline,159.02
Pre-Pandemic Baseline,160.39
Pre-Pandemic Baseline,170.29
Pre-Pandemic Baseline,158.85
Pre-Pandemic Baseline,143.83
Pre-Pandemic Baseline,171.78
Pre-Pandemic Baseline,153.64
Pre-Pandemic Baseline,153.5
COVID-19 Collapse,65.67
COVID-19 Collapse,41.68
COVID-19 Collapse,55.07
COVID-19 Collapse,77.49
COVID-19 Collapse,47.87
COVID-19 Collapse,72.03
COVID-19 Collapse,66.16
COVID-19 Collapse,59.92
COVID-19 Collapse,40.2
COVID-19 Collapse,62.91
COVID-19 Collapse,93.28
COVID-19 Collapse,83.78
COVID-19 Collapse,72.3
COVID-19 Collapse,98.68
COVID-19 Collapse,69.82
Recovery & Surge,198.29
Recovery & Surge,215.98
Recovery & Surge,177.59
Recovery & Surge,220.11
Recovery & Surge,200.33
Recovery & Surge,229.05
Recovery & Surge,222.13
Recovery & Surge,185.41
Recovery & Surge,192.76
Ukraine War Shock,250.01
Ukraine War Shock,247.34
Ukraine War Shock,252.09
Ukraine War Shock,250.57
Ukraine War Shock,217.02
Ukraine War Shock,246.49
Ukraine War Shock,201.55
Ukraine War Shock,254.08
Ukraine War Shock,216.47
Ukraine War Shock,244.51
Stabilisation,175.65
Stabilisation,167.15
Stabilisation,202.43
Stabilisation,167.51
Stabilisation,200.71
Stabilisation,173.42
Stabilisation,177.77
Stabilisation,172.79
Stabilisation,163.46
Gaza-Israel Conflict,174.76
Gaza-Israel Conflict,155.5
Gaza-Israel Conflict,168.72
Gaza-Israel Conflict,182.12
Gaza-Israel Conflict,185.21
Gaza-Israel Conflict,192.18
Gaza-Israel Conflict,178.17
Gaza-Israel Conflict,162.31
Gaza-Israel Conflict,178.87
Gaza-Israel Conflict,192.57
Gaza-Israel Conflict,173.63
Gaza-Israel Conflict,154.82
Gaza-Israel Conflict,196.08
Gaza-Israel Conflict,189.07
Pre-Iran Escalation,181.46
Pre-Iran Escalation,170.08
Pre-Iran Escalation,205.04
Pre-Iran Escalation,220.65
Pre-Iran Escalation,195.97
Pre-Iran Escalation,178.84
Pre-Iran Escalation,170.34
Pre-Iran Escalation,217.02
Pre-Iran Escalation,189.05
Pre-Iran Escalation,216.0
Pre-Iran Escalation,176.55
Pre-Iran Escalation,168.43
US-Iran War Conflict,425.22
US-Iran War Conflict,359.96
US-Iran War Conflict,445.42
US-Iran War Conflict,372.41
Pre-Pandemic Baseline,2394.74
Pre-Pandemic Baseline,2848.95
Pre-Pandemic Baseline,2613.01
Pre-Pandemic Baseline,2445.91
Pre-Pandemic Baseline,2694.82
Pre-Pandemic Baseline,2748.27
Pre-Pandemic Baseline,2748.12
Pre-Pandemic Baseline,2783.63
Pre-Pandemic Baseline,2507.74
Pre-Pandemic Baseline,2605.51
Pre-Pandemic Baseline,2465.15
Pre-Pandemic Baseline,2769.04
Pre-Pandemic Baseline,2409.74
Pre-Pandemic Baseline,2667.43
COVID-19 Collapse,1080.65
COVID-19 Collapse,1002.77
COVID-19 Collapse,749.0
COVID-19 Collapse,861.4
COVID-19 Collapse,816.78
COVID-19 Collapse,894.13
COVID-19 Collapse,1032.19
COVID-19 Collapse,642.32
COVID-19 Collapse,1200.08
COVID-19 Collapse,1134.47
COVID-19 Collapse,1157.37
COVID-19 Collapse,837.3
COVID-19 Collapse,1170.27
COVID-19 Collapse,1047.61
COVID-19 Collapse,1129.5
Recovery & Surge,2998.1
Recovery & Surge,3709.11
Recovery & Surge,2894.25
Recovery & Surge,3093.58
Recovery & Surge,3378.18
Recovery & Surge,3284.42
Recovery & Surge,3640.16
Recovery & Surge,2808.71
Recovery & Surge,3508.14
Ukraine War Shock,4514.85
Ukraine War Shock,4450.18
Ukraine War Shock,4007.03
Ukraine War Shock,3849.85
Ukraine War Shock,3565.47
Ukraine War Shock,4150.7
Ukraine War Shock,3284.19
Ukraine War Shock,3738.3
Ukraine War Shock,3695.18
Ukraine War Shock,4109.62
Stabilisation,2963.3
Stabilisation,2509.4
Stabilisation,3108.56
Stabilisation,2613.03
Stabilisation,2914.33
Stabilisation,3286.05
Stabilisation,2804.84
Stabilisation,3003.6
Stabilisation,2593.26
Gaza-Israel Conflict,2591.91
Gaza-Israel Conflict,2823.71
Gaza-Israel Conflict,2963.08
Gaza-Israel Conflict,2763.59
Gaza-Israel Conflict,2755.82
Gaza-Israel Conflict,2703.96
Gaza-Israel Conflict,2694.47
Gaza-Israel Conflict,2562.24
Gaza-Israel Conflict,3007.23
Gaza-Israel Conflict,2783.69
Gaza-Israel Conflict,2780.13
Gaza-Israel Conflict,2521.56
Gaza-Israel Conflict,3231.09
Gaza-Israel Conflict,2859.25
Pre-Iran Escalation,2757.79
Pre-Iran Escalation,2644.47
Pre-Iran Escalation,3050.96
Pre-Iran Escalation,3455.23
Pre-Iran Escalation,3155.73
Pre-Iran Escalation,3419.79
Pre-Iran Escalation,3033.88
Pre-Iran Escalation,2835.13
Pre-Iran Escalation,2922.38
Pre-Iran Escalation,3435.23
Pre-Iran Escalation,3167.37
Pre-Iran Escalation,3015.76
US-Iran War Conflict,6984.05
US-Iran War Conflict,6233.63
US-Iran War Conflict,5419.51
US-Iran War Conflict,7192.15
Pre-Pandemic Baseline,1243.15
Pre-Pandemic Baseline,1483.57
Pre-Pandemic Baseline,1281.74
Pre-Pandemic Baseline,1348.85
Pre-Pandemic Baseline,1244.61
Pre-Pandemic Baseline,1268.4
Pre-Pandemic Baseline,1249.93
Pre-Pandemic Baseline,1299.91
Pre-Pandemic Baseline,1476.43
Pre-Pandemic Baseline,1321.28
Pre-Pandemic Baseline,1418.37
Pre-Pandemic Baseline,1188.67
Pre-Pandemic Baseline,1303.19
Pre-Pandemic Baseline,1423.55
COVID-19 Collapse,378.65
COVID-19 Collapse,327.88
COVID-19 Collapse,590.23
COVID-19 Collapse,598.06
COVID-19 Collapse,403.53
COVID-19 Collapse,453.33
COVID-19 Collapse,464.37
COVID-19 Collapse,647.14
COVID-19 Collapse,412.33
COVID-19 Collapse,373.96
